text,Label
itu mah konflik rebutan tanah,0
 karena ga ada urgensinya. ga ada ancaman invasi militer dari negara2 di kawasan asean.  korsel wajib militer karena status perang korea itu masih gencatan senjata,0
 ini valid  kemarin saya smpat nonton salah satu wawancara sama mantan radikalis. dia bilang awal mengarahkan pemikiran seseorang mmng dari isu2 yg terjadi di sekitar.  pintu masuk pembicaraan paling,0
 analisis yang dirumuskan dari klaster politik luar negeri dan isu-isu internasional ini menggarisbawahi bahwa setiap kali konflik meletus antara palestina dan israel,0
 bisa tidak? palestina taat secara kaffah dalam islam dengan mengganti demokrasi menjadi sistem islam??  seakan2 hal ini menjadi kunci allah akan memlerbaiki keadaan di tiap tempat yang bersangkutan (,0
 bagaimana mengelola/menghadapi pemberontakan: 1. berunding untuk memaksa pemberontak menyerah 2. berunding untuk memaksa gencatan senjata 3. blokade utk memotong suplai logistik pemberontak 4.,1
kalo palestina rohingya lebih ke konflik politik si soalnya oknum yg terlibat dari pemerintah luar ke islam bukan islam ke oknum luar jadi ga apple to apple sama teroris. cmiiw,0
 teroris 'islam' itu gejala baru terutama sebagai imbas konflik israel palestina. thn 60-70an yang sohor malah teroris 'merah'. sisa-sisanya pernah beraksi di jakarta tahun 1986.   ,0
   at least gregetan gw turun krn lu moderat  i don't care with zionism ataupun gerakan yg mendukung palestina. ini konflik mereka yg ga ada sangkut pautnya dg kita. tp sbg,2
meningkatnya ketidakpercayaan antara bangsa arab-muslim dan dunia barat berakar pada konflik di palestina. ,2
  saya pengen tahu latar belakang adakah konflik internal faksi2 di palestina,0
 tolong negara negara arab atau lainnya harus menegakkan kebebasan dan hak asasi manusia di palestina jangan cuma banyak bacot doang untuk mengurusi negara yg banyak sda nya contoh negara a_m_r_k_ dan tol,2
 apa kalian yang teriak toleransi tau bagaimana islam menjaga kebebasan agama lain beragama?   ingat kisah amirul mukminin umar ibn khatab? membebaskan jarusalem (palestina),0
  indeed. konflik israel-palestina memang complex,0
 semoga allah menolong saudara kita di palestina. aamiin yra .....alfatehah,0
" penjajahan palestina terjadi setelah runtuhnya khilafah. bahkan setelah berdirinya ""puluhan"" negara arab mereka gak mampu membebaskan al aqso....masih enggak ada rasa rindu khilafah islamiah...",0
 kebanyakan korban terluka karena ditembak peluru karet dan pecahan dari granat kejut,0
   saya setuju pak utk urusin palestina saja... jadi duta palestina saja pak dan tinggallah disana barang 25tahun,2
 gw lagi mikir dalam perspektif netral dan ya.. ga israel ga palestina penembakan sipil juga terjadi.  hampir disetiap perang juga ka,0
 konflik israel palestina itu gk ada hubungannya dengan agama...di israel ada org islam yg jadi tentara israel...di palestina ada warga yg yahudi ortodoks n nasrani...tapi kenapa kyknya tiap ramadhan sela,0
konflik israel dan palestina sudah tertulis di al quran..,1
jangan pelihara konflik dan penderitaan warga palestina dengan bilang itu semua sudah takdir mereka untuk dijajah israel ,2
respon begitu punya beberapa masalah: 1. membiaskan akar permasalahan konflik palestina-israel 2. mengkerdilkan casus belli dari konflik jadi sebatas agama 3. membatasi diskusi ttg penyelesaian k,0
 jangan pelihara konflik dan penderitaan warga palestina dengan bilang itu semua sudah takdir mereka untuk dijajah israel ,2
konflik israel -palestina tidak bisa di diamkan begitu saja    as dan uni eropa sama-sama menyerukan agar israel dan palestina meredakan ketegangan setelah terjadi bentrokan te,0
dari zamannya bung karno gak ada perubahannya tuh palestina.... kenapa yaa bisa gitu?  ada konflik apa di sana? ,2
konflik palestina itu murni bisnis yg sudah ada sejak puluhan tahun lalu. hanya orang2 yg kurang literasi yg mengkuatirkan mereka.,2
di israel pun banyak kok warganya yang mengecam praktik kolonialisme ini. peran media berpuluh-puluh tahun menggeser makna konflik israel-palestina menjadi perang agama.,2
konflik palestina dan israel saat ini bentuk dr keinginan militer israel yg ingin okupasi wilayah sekitar al-aqsa.   kesimpulannya,1
 di israel pun banyak kok warganya yang mengecam praktik kolonialisme ini. peran media berpuluh-puluh tahun menggeser makna konflik israel-palestina menjadi perang agama.,2
 konflik palestina dan israel saat ini bentuk dr keinginan militer israel yg ingin okupasi wilayah sekitar al-aqsa.   kesimpulannya,0
kenapa sih israel nyerang palestina disaat hari besar islam atau ketika ibadah sholat jum'at atau kejadian kemarin saat sholat tarawih? konflik karena agama kah? atau konflik karena wilayah kah? a,0
konflik israel vs palestina itu kompleks. sampai sekarang masih belum ada penyelesaiian.   ,0
giliran konflik myanmar kalian bersuara.  ini palestina dijajah,2
terus pbb tuh ngapain sih kobisa sampe ada konflik di palestina kayak gini tapi ga beres2 gw heran,2
sejak pendudukan dan berdirinya negara israel di kawasan yerusalem sebagai wilayah palestina dan negeri tiga agama yaitu islam,0
masih banyak orang yang berpikir bahwa konflik yang terjadi di palestina adalah konflik agama. it is not,1
akan sangat mudah bagi negara2 kolonial untuk merebut palestina apabila konflik tersebut atas nama agama. jadi kita yg awam ini tak acuh dan hanya menganggap angin lalu saja ah udah dari awal konfl,2
konflik yang terjadi di palestina emang rumit gak bisa di nilai sepihak gitu aja,1
setiap ngelihat palestina ini sejak dulu selalu ngerasa sedih. bukan karena apa yg terjadi,0
situasi konflik israel-palestina akan menjadi cermin bagi kondisi geopolitik di timur tengah dan juga di level internasional.   ,0
yang membuat saya takjub adalah konflik ini terjadi sudah berapa dekade,2
aksi kekerasan terbaru israel di masjid al-aqsa bisa digunakan sebagai momentum untuk menegakkan hukum-hukum internasional terkait konflik palestina-israel,0
kabar konflik apapun itu apalagi di palestina emang ibarat geledek di siang bolong yang bikin kesel dan sakit hati.  tapi dgn propaganda tujuan mendukung sesuatu tanpa mengajak orang u/ bisa paham,2
eror tak hanya dilakukan oleh individu dan kelompok dari agama dan etnis tertentu. yang terjadi di palestina adalah teror sebuah rezim. ,2
palestina membutuhkan kehadiran pemikiran dari persyarikatan muhammadiyah yang diharapkan dapat mencarikan solusi bagaimana caranya agar palestina dapat menikmati kemerdekaannya,0
mari kita tundukan kepala dan doakan saudara saudara muslim kita di palestina ataupun daerah konflik timur tengah agar senantiasa diberikan kesabaran,0
lucunya dari jaman ke jaman doamu gak dikabul2kan... lalu apa yg salah?? konflik palestina vs israel bukan soal agama yaa... tapi politik kekuasaan... dan itu sudah ada,0
konflik israel palestina itu ga akan berenti sampai hari kiamat nanti..,2
yap setuju . saya simpati juga dengan palestina,0
ada yang bilang konflik di palestina bukan soal agama.mungkin benar dia kata,0
 jujur sampe sekarang gw gak ngerti akar masalah yang trjadi antara palestina dan israel,2
 konflik palestina: hanya dengan doa bukanlah solusi  apa yang terjadi di al quds adalah masalah politik dan membutuhkan solusi politik. kekerasan sistematis suatu negara seharusnya tidak diselesaika,0
 palestina dan israel itu konfliknya bukan dalam konteks konflik agama tapi politik. kaget aja komenannya pada dukung israel secara ga langsung lu pada dukung colonialisme atau penjajahan,2
 dan palestina dan israel itu konfliknya bukan dalam konteks konflik agama tapi politik. kaget aja komenannya pada dukung israel secara ga langsung lu pada dukung colonialisme atau penjajahan,0
  orang indo dan atau yang ngaku pancasila/nkri harga mati/soekarnois juga yang dukung zionist dan israel itu bodoh ya,2
 mereka berkedok lembaga sosial,2
 entah apakah cuma aku yang merasa kalau konflik palestina dan israel ini ga begitu ditanggapi sama dunia dan publik figur dunia,2
 ntah apakah cuma aku yang merasa kalau konflik palestina dan israel ini ga begitu ditanggapi sama dunia dan publik figur dunia,2
 buat orang kristen yang mendukung israel karena perjanjian lama sepertinya sangat bodoh. mereka lupa kalau palestina juga diisi minoritas kristen. konflik ini murni politik dan bukan perang agama,2
 buat orang kristen yang mendukung israel karena perjanjian lama sepertinya sangat bodoh. mereka lupa kalau palestina juga diisi minoritas kristen. konflik ini murni politik dan bukan perang agama,2
 bangsa palestina mendiami tanah kosong itu ketika bangsa israel terusir saat kalah dijajah dan akhirnya menyebar keseluruh dunia.. bagaimana pun juga,0
 israel pengen ngerebut palestina cuma atas dasar kepercayaan mereka. dan ini konflik abadi sampai kiamat tertulis di kitab,2
   iya israel pengen ngerebut palestina cuma atas dasar kepercayaan mereka. dan ini konflik abadi sampai kiamat tertulis di kitab,0
 konflik israel palestina itu konflik perebutan daerah atau politik..bukan masalah agama,0
    konflik israel palestina itu konflik perebutan daerah atau politik..bukan masalah agama,0
  konflik yang tidak akan pernah berujung nii sampai kiamat,2
 ngapain ngurusin palestina udah kliatan konflik kepentingan,2
 sebel banget liat masih banyak yang framing konflik israel-palestina sebagai konflik zionis yahudi vs muslim palestina. ,2
 memberikan kemerdekaan kepada hongkong dan melepaskan taiwan dari permasalahan internasional beserta penyelesaian konflik israel-palestina.,0
 konflik israel-palestina hrs di lihat akar masalahnya,1
   dari dulu sampai sekarang belum pernah denger ada pasukan perdamaian pbb dipalestina...percuma ada badan dunia tapi gak bisa menyelesaikan konflik palestina israel kaya ada pem,2
 dalam pikirku yang kolot dan terbatas ini ya. peran redaksi media itu diuji saat pelanggaran ham yang ada di palestina.   media yang mau ku kritisi adalah tepewen. why?   tendensi pimred cenderu,2
  gue pro dan kontra soal kasus palestina dan israel. ,0
   tidak akan pernah israel dapat  menghancur kan masjid alaqsa sampai kiamat pun...dan israel tidak akan musnah sampai hari akhir...jika bisa di hancur kan sudah sejak lama,0
 setuju. memang agenda utama indonesia apabila jd member tidak tetap un security council adalah untuk membela hak palestina menjadi negara seutuhnya,1
  kalau palestina dan israel sudah berdamai artinya kiamat sudah dekat,2
 save   semoga orang-orang di palestina dalam keadaan sehat semua dan semoga konflik yang selama ini terjadi bisa berakhir secepat mungkin. amiinnnn  ,1
 mungkin kita udh bisa lebih dewasa kali ya utk mencoba melihat konflik kali ini dr sisi yg lebih objektif. tidak melulul ttg kesedihan palestina. kenapa?,1
 ini gue bikin thread pembahasannya hanya tentang kasus yang lagi rame 2 minggu blakangan ini ya. mengajak kita sama2 berpikir objektif aja. bukan tentang konflik palestina - zionis israel yg udh mau satu abad ini,2
 konflik israel-palestina mengingatkanku akan kebaikan hati saladin ketika berhasil merebut kota jerusalem. saladin enggan untuk menyiksa ataupun mengusir umat non-muslim dari jerusalem.,0
 soal konflik israel-palestina sebenernya israel juga capek nyerang2 mulu. cuma mereka sadar aja kalo mereka berhenti nyerang bakal kiamat wkwkwk,2
 kaum cerdas dan kritis nkri kalo soal konflik israel-palestina,0
 mari melihat israel dan palestina sebagai konflik 2 negara  bukan  konflik 2 agama,1
 mari melihat israel dan palestina sebagai konflik 2 negara  bukan  konflik 2 agama,0
   saya bukan pro yahudi asal anda tau. tapi saya pro kenyataan aja sih. fakta yg ada yg sebenarnya terjadi. rakyat biasa palestina dan israel mereka hidup normal berdampingan sebenar,2
 akhirnya israel bakal buat serangan udara di gaza.  mengapa negara arab ga ada yg mau nyuplai senjata ke palestina? bisa dipakai ngehajar negara arab lain.  cuma iran yg mau suplai.  sygnya simp,2
  cukup fair jika pem perlu juga dorong rkyt palestina hindari tindakan2 provokatif yg mancing konflik dng aparat israel. konflik hanya rugikan semua fihak. dorong semua fihak ciptakan perda,2
 dari kemarin belajar soal sejarah palestina-israel dari diusirnya kaum yahudi dri yudae sm kaum romawi smpe runtuhnya kerajaan ottoman yg menyebabkan hilangnya perlindungan atas palestina,0
 banyak pertanyaan pbb kemana dalam kasus palestina israel.. . padahal pbb udah ngambil tindakan sejak awal konflik,1
 pertanyaannya pbb kemana dalam kasus palestina israel.. . pbb udah ngambil tindakan sejak awal konflik,2
 yang bikin palestina dan israel perang itu karena ada kemiripan sejarah,0
 di indonesia pemandangan seperti ini mungkin cuma petasan atau kembang api.  tapi di gaza dan israel,2
 facebook sangat tidak ramah dgn berita2 konflik palestina - israel. tiga akun saya tumbang gegara memberitakan situasi terkini perlakuan zionist thdp rakyat palestina.  ,2
 konflik israel palestina tuh bukan melulu soal agama tapi konflik kepentingan. yg mereka perebutan tuh wilayah,0
" yang bilang ""tapi nanti kiamat wkwk"" ke orang berharap konflik israel palestina selesai is seriously selfish. gila aja ngometarin hal separah itu pake ""wkwk""",1
" banyak yang masih mikir kejadian di palestina tuh sebatas ""konflik agama"" hey ga gitu loh ini udah ngelawan ham",1
" banyak yang masih mikir kejadian di palestina tuh sebatas ""konflik agama"" hey ga gitu loh ini udah ngelawan ham",1
 konflik palestina-israel memang bukan konflik sisi agama,1
 konflik palestina-israel memang bukan konflik sisi agama,0
 konflik palestina-israel memang bukan konflik sisi agama,0
 konflik palestina: hanya dengan doa bukanlah solusi  apa yang terjadi di al quds adalah masalah politik dan membutuhkan solusi politik. kekerasan sistematis suatu negara seharusnya tidak diselesai,0
 gapaham kenapa negara2 lain bahkan pbb terkesan tutup mata dengan konflik israel-palestina. itu udh bertahun tahun. gilaa,2
 gapaham kenapa negara2 lain bahkan pbb terkesan tutup mata dg konflik israel-palestina. itu udh bertahun tahun. gilaa,2
 perlawanan palestina ini semacam intifada jilid 3. dan israel layak disebut sbg negara teroris.      ,2
 ya allah kapan ya konflik palestina israel bisa segera berakhir,0
  emang siapa yang bilang konflik israel-palestina itu konflik agama? dari dulu juga kayanya ini konflik wilayah deh. gak ada hubungannya dengan konflik yahudi-islam.,0
  sedih padahal palestina itu negara pertama yg bantu mengakui kedaulatan indonesia. kita terbantu bgt dulu. tp skrg mrk bgini,2
 harus tau dulu sejarah nya bagaimana antara palestina dan israel. memang tidak di benar kan untuk berperang. semoga cepat terselesaikan masalahnya. turut berduka bagi yg ditinggalkan. ,1
 kita semua setuju serangan israel ke palestina itu adalah kejatahan,0
 serangan israel ke palestina tidak diketahui oleh idol kpop (?) biasa tu idol2 kesayangan pada kasi dukungan kl ada tragedi2,2
 setuju sikap indonesia menentang dan mengutuk serangan israel ke palestina  penjajahan di atas dunia harus dihapuskan   ,0
 gapernah ngomongin konflik israel-palestina karena gajelas dan simpang siur,2
 jadi israel mau ningkatin serangan udara nya setelah mendapatkan rudal dari gaza yang jelas jelas di ledakin di udara sama iron dome. kalo pihak israel nya ngga pengaruh apa apa,0
     konflik palestina dan israel tidak akan pernah damai sampai akhir zaman.  ,0
 isu konflik israel-palestina ujung-ujungnya selalu dibanding-bandingkan dengan isu papua dan minoritas tertindas di mari yang di mana kaya tai kucing aja sih lo gini-ginian masih aja pada adu n,2
 satu hal yang ga pernah gua suka dari konflik israel - palestina (gaza) adalah:  israel dan palestina (gaza) sama sama peralatan tempur,2
 indonesia emang kalo ada apa-apa cuma menang heboh doang. setidaknya di bidang sepakbola dan konflik israel-palestina.,2
 semoga kedamaian segera terwujud di palestina. terlepas apapun penyebab konflik tsb tak seharusnya menyebabkan terancamnya kenyamanan kehidupan bahkan hilangnya nyawa.  my thoughts and prayers for human,1
 di tingkat masyarakat pun begitu. mayoritas masyarakat punya kepedulian besar pada pembebasan palestina &amp; penyelesaian konflik di sana. itu bagus atas nama kemanusiaan. namun skali lagi,1
 terlepas dari nyinyiran soal yang terjadi di palestina bukan konflik agama lah,1
 terlalu banyak hal yang gak gua tau terkait konflik israel-palestina.  jadi daripada gua speak up terkait hal yang gak gua tau,1
 palestina ini konflik rumit. papua juga rumit. indonesia malah makin rumit.,2
  kemana aja sby selama 10 tahun menguasa rupanya? kenapa tdk pada saat pak sby menguasa diselesaikan konflik antara israel dan palestina? ngomong pakai kaca dong.mungkinkah ini efek sampin,2
 amerika serikat dianggap oleh banyak pengamat sebagai penghambat resolusi konflik palestina-israel. sejak tahun 2002,2
 alangkah baiknya pemerintah indonesia menyerukan kepada israel dan palestina untuk menghentikan konflik bersenjata yang terjadi saat ini.,2
 alangkah baiknya pemerintah indonesia menyerukan kepada israel dan palestina untuk menghentikan konflik bersenjata yang terjadi saat ini.,1
 konflik palestina sudah diluar nalar saya. kenapa harus menyerang disaat beribadah? dimana kemanusiaan itu,0
 3 negara pemegang veto sudah mendesak adanya tindakan khusus pada konflik disana. dan amerika sudah jelas mulai goyah. dan perasaan presiden sudah ngeluarin statement nya,0
 konflik palestina: kekerasan militer hanya bisa dihentikan dg intervensi militer,2
 konflik palestina sama israel itu murni politik. jadi guys tolong jangan diliat dari sisi agama tertentu. di israel dan palestina itu ada kristen,1
